arm_num,unique_event_name,form
1,1_arm_1,demographics
1,1_arm_1,informed_consent
1,1_arm_1,inclusion_exclusion
1,1_arm_1,key_medical_history
1,1_arm_1,mh_coding
1,1_arm_1,substance_use
1,1_arm_1,prior_treatment_response
1,1_arm_1,il28b_hcv_genotypes
1,1_arm_1,fibrosis_staging
1,1_arm_1,cbc
1,1_arm_1,cbc_standard
1,1_arm_1,chemistry
1,1_arm_1,chemistry_standard
1,1_arm_1,inr
1,1_arm_1,hcv_rna_results
1,1_arm_1,hcv_rna_standard
1,1_arm_1,treatment_regimen
1,1_arm_1,interferon_administration
1,1_arm_1,ribavirin_administration
1,1_arm_1,boceprevir_administration
1,1_arm_1,telaprevir_administration
1,1_arm_1,simeprevir_administration
1,1_arm_1,sofosbuvir_administration
1,1_arm_1,daclatasvir_administration
1,1_arm_1,harvoni_administration
1,1_arm_1,ombitasvir_paritaprevir
1,1_arm_1,dasabuvir
1,1_arm_1,zepatier_administration
1,1_arm_1,ex_coding
1,1_arm_1,adverse_events
1,1_arm_1,ae_coding
1,1_arm_1,conmeds
1,1_arm_1,cm_coding
1,1_arm_1,immunosuppression_dosages
1,1_arm_1,ppi_dosages
1,1_arm_1,transfusions
1,1_arm_1,onpost_tx_liver_transplant
1,1_arm_1,early_discontinuation_eot
1,1_arm_1,pi_signature
1,1_arm_1,source_upload_form
1,1_arm_1,site_source_upload_form
1,1_arm_1,data_entry_completion
1,1_arm_1,resource
1,1_arm_1,protocol_deviations
1,1_arm_1,derived_values_baseline
1,1_arm_1,derived_values
1,1_arm_1,cirrhosis
1,1_arm_1,cbc_imported
1,1_arm_1,cbc_im_standard
1,1_arm_1,chemistry_imported
1,1_arm_1,chemistry_im_standard
1,1_arm_1,inr_imported
1,1_arm_1,hcv_rna_imported
1,1_arm_1,hcv_rna_im_standard
1,1_arm_1,conmeds_imported
1,1_arm_1,biological_specimens
1,1_arm_1,comments
1,1_arm_1,cryoglobulinemia_baseline
1,1_arm_1,cryoglobulinemia_followup
1,2_arm_1,inclusion_exclusion
1,2_arm_1,cbc
1,2_arm_1,cbc_standard
1,2_arm_1,chemistry
1,2_arm_1,chemistry_standard
1,2_arm_1,inr
1,2_arm_1,hcv_rna_results
1,2_arm_1,hcv_rna_standard
1,2_arm_1,interferon_administration
1,2_arm_1,ribavirin_administration
1,2_arm_1,boceprevir_administration
1,2_arm_1,telaprevir_administration
1,2_arm_1,simeprevir_administration
1,2_arm_1,sofosbuvir_administration
1,2_arm_1,daclatasvir_administration
1,2_arm_1,harvoni_administration
1,2_arm_1,ombitasvir_paritaprevir
1,2_arm_1,dasabuvir
1,2_arm_1,zepatier_administration
1,2_arm_1,ex_coding
1,2_arm_1,adverse_events
1,2_arm_1,ae_coding
1,2_arm_1,conmeds
1,2_arm_1,cm_coding
1,2_arm_1,immunosuppression_dosages
1,2_arm_1,ppi_dosages
1,2_arm_1,transfusions
1,2_arm_1,onpost_tx_liver_transplant
1,2_arm_1,source_upload_form
1,2_arm_1,site_source_upload_form
1,2_arm_1,protocol_deviations
1,2_arm_1,derived_values
1,2_arm_1,cbc_imported
1,2_arm_1,cbc_im_standard
1,2_arm_1,chemistry_imported
1,2_arm_1,chemistry_im_standard
1,2_arm_1,inr_imported
1,2_arm_1,hcv_rna_imported
1,2_arm_1,hcv_rna_im_standard
1,2_arm_1,conmeds_imported
1,2_arm_1,biological_specimens
1,2_arm_1,cryoglobulinemia_followup
1,3_arm_1,inclusion_exclusion
1,3_arm_1,cbc
1,3_arm_1,cbc_standard
1,3_arm_1,chemistry
1,3_arm_1,chemistry_standard
1,3_arm_1,inr
1,3_arm_1,hcv_rna_results
1,3_arm_1,hcv_rna_standard
1,3_arm_1,interferon_administration
1,3_arm_1,ribavirin_administration
1,3_arm_1,boceprevir_administration
1,3_arm_1,telaprevir_administration
1,3_arm_1,simeprevir_administration
1,3_arm_1,sofosbuvir_administration
1,3_arm_1,daclatasvir_administration
1,3_arm_1,harvoni_administration
1,3_arm_1,ombitasvir_paritaprevir
1,3_arm_1,dasabuvir
1,3_arm_1,zepatier_administration
1,3_arm_1,ex_coding
1,3_arm_1,adverse_events
1,3_arm_1,ae_coding
1,3_arm_1,conmeds
1,3_arm_1,cm_coding
1,3_arm_1,immunosuppression_dosages
1,3_arm_1,ppi_dosages
1,3_arm_1,transfusions
1,3_arm_1,source_upload_form
1,3_arm_1,site_source_upload_form
1,3_arm_1,protocol_deviations
1,3_arm_1,derived_values
1,3_arm_1,cbc_imported
1,3_arm_1,cbc_im_standard
1,3_arm_1,chemistry_imported
1,3_arm_1,chemistry_im_standard
1,3_arm_1,inr_imported
1,3_arm_1,hcv_rna_imported
1,3_arm_1,hcv_rna_im_standard
1,3_arm_1,conmeds_imported
1,3_arm_1,biological_specimens
1,3_arm_1,cryoglobulinemia_followup
1,4_arm_1,inclusion_exclusion
1,4_arm_1,cbc
1,4_arm_1,cbc_standard
1,4_arm_1,chemistry
1,4_arm_1,chemistry_standard
1,4_arm_1,inr
1,4_arm_1,hcv_rna_results
1,4_arm_1,hcv_rna_standard
1,4_arm_1,interferon_administration
1,4_arm_1,ribavirin_administration
1,4_arm_1,boceprevir_administration
1,4_arm_1,telaprevir_administration
1,4_arm_1,simeprevir_administration
1,4_arm_1,sofosbuvir_administration
1,4_arm_1,daclatasvir_administration
1,4_arm_1,harvoni_administration
1,4_arm_1,ombitasvir_paritaprevir
1,4_arm_1,dasabuvir
1,4_arm_1,zepatier_administration
1,4_arm_1,ex_coding
1,4_arm_1,adverse_events
1,4_arm_1,ae_coding
1,4_arm_1,conmeds
1,4_arm_1,cm_coding
1,4_arm_1,immunosuppression_dosages
1,4_arm_1,ppi_dosages
1,4_arm_1,transfusions
1,4_arm_1,source_upload_form
1,4_arm_1,site_source_upload_form
1,4_arm_1,protocol_deviations
1,4_arm_1,derived_values
1,4_arm_1,cbc_imported
1,4_arm_1,cbc_im_standard
1,4_arm_1,chemistry_imported
1,4_arm_1,chemistry_im_standard
1,4_arm_1,inr_imported
1,4_arm_1,hcv_rna_imported
1,4_arm_1,hcv_rna_im_standard
1,4_arm_1,conmeds_imported
1,4_arm_1,biological_specimens
1,4_arm_1,cryoglobulinemia_followup
1,5_arm_1,cbc
1,5_arm_1,cbc_standard
1,5_arm_1,chemistry
1,5_arm_1,chemistry_standard
1,5_arm_1,inr
1,5_arm_1,hcv_rna_results
1,5_arm_1,hcv_rna_standard
1,5_arm_1,interferon_administration
1,5_arm_1,ribavirin_administration
1,5_arm_1,sofosbuvir_administration
1,5_arm_1,ex_coding
1,5_arm_1,adverse_events
1,5_arm_1,ae_coding
1,5_arm_1,conmeds
1,5_arm_1,cm_coding
1,5_arm_1,immunosuppression_dosages
1,5_arm_1,ppi_dosages
1,5_arm_1,transfusions
1,5_arm_1,source_upload_form
1,5_arm_1,site_source_upload_form
1,5_arm_1,protocol_deviations
1,5_arm_1,derived_values
1,5_arm_1,cbc_imported
1,5_arm_1,cbc_im_standard
1,5_arm_1,chemistry_imported
1,5_arm_1,chemistry_im_standard
1,5_arm_1,inr_imported
1,5_arm_1,hcv_rna_imported
1,5_arm_1,hcv_rna_im_standard
1,5_arm_1,conmeds_imported
1,5_arm_1,biological_specimens
1,6_arm_1,cbc
1,6_arm_1,cbc_standard
1,6_arm_1,chemistry
1,6_arm_1,chemistry_standard
1,6_arm_1,inr
1,6_arm_1,hcv_rna_results
1,6_arm_1,hcv_rna_standard
1,6_arm_1,interferon_administration
1,6_arm_1,ribavirin_administration
1,6_arm_1,sofosbuvir_administration
1,6_arm_1,ex_coding
1,6_arm_1,adverse_events
1,6_arm_1,ae_coding
1,6_arm_1,conmeds
1,6_arm_1,cm_coding
1,6_arm_1,immunosuppression_dosages
1,6_arm_1,ppi_dosages
1,6_arm_1,transfusions
1,6_arm_1,source_upload_form
1,6_arm_1,site_source_upload_form
1,6_arm_1,protocol_deviations
1,6_arm_1,derived_values
1,6_arm_1,cbc_imported
1,6_arm_1,cbc_im_standard
1,6_arm_1,chemistry_imported
1,6_arm_1,chemistry_im_standard
1,6_arm_1,inr_imported
1,6_arm_1,hcv_rna_imported
1,6_arm_1,hcv_rna_im_standard
1,6_arm_1,conmeds_imported
1,6_arm_1,biological_specimens
1,7_arm_1,cbc
1,7_arm_1,cbc_standard
1,7_arm_1,chemistry
1,7_arm_1,chemistry_standard
1,7_arm_1,inr
1,7_arm_1,hcv_rna_results
1,7_arm_1,hcv_rna_standard
1,7_arm_1,interferon_administration
1,7_arm_1,ribavirin_administration
1,7_arm_1,sofosbuvir_administration
1,7_arm_1,ex_coding
1,7_arm_1,adverse_events
1,7_arm_1,ae_coding
1,7_arm_1,conmeds
1,7_arm_1,cm_coding
1,7_arm_1,immunosuppression_dosages
1,7_arm_1,ppi_dosages
1,7_arm_1,transfusions
1,7_arm_1,source_upload_form
1,7_arm_1,site_source_upload_form
1,7_arm_1,protocol_deviations
1,7_arm_1,derived_values
1,7_arm_1,cbc_imported
1,7_arm_1,cbc_im_standard
1,7_arm_1,chemistry_imported
1,7_arm_1,chemistry_im_standard
1,7_arm_1,inr_imported
1,7_arm_1,hcv_rna_imported
1,7_arm_1,hcv_rna_im_standard
1,7_arm_1,conmeds_imported
1,7_arm_1,biological_specimens
1,8_arm_1,cbc
1,8_arm_1,cbc_standard
1,8_arm_1,chemistry
1,8_arm_1,chemistry_standard
1,8_arm_1,inr
1,8_arm_1,hcv_rna_results
1,8_arm_1,hcv_rna_standard
1,8_arm_1,interferon_administration
1,8_arm_1,ribavirin_administration
1,8_arm_1,sofosbuvir_administration
1,8_arm_1,ex_coding
1,8_arm_1,adverse_events
1,8_arm_1,ae_coding
1,8_arm_1,conmeds
1,8_arm_1,cm_coding
1,8_arm_1,immunosuppression_dosages
1,8_arm_1,ppi_dosages
1,8_arm_1,transfusions
1,8_arm_1,source_upload_form
1,8_arm_1,site_source_upload_form
1,8_arm_1,protocol_deviations
1,8_arm_1,derived_values
1,8_arm_1,cbc_imported
1,8_arm_1,cbc_im_standard
1,8_arm_1,chemistry_imported
1,8_arm_1,chemistry_im_standard
1,8_arm_1,inr_imported
1,8_arm_1,hcv_rna_imported
1,8_arm_1,hcv_rna_im_standard
1,8_arm_1,conmeds_imported
1,8_arm_1,biological_specimens
1,9_arm_1,cbc
1,9_arm_1,cbc_standard
1,9_arm_1,chemistry
1,9_arm_1,chemistry_standard
1,9_arm_1,inr
1,9_arm_1,hcv_rna_results
1,9_arm_1,hcv_rna_standard
1,9_arm_1,interferon_administration
1,9_arm_1,ribavirin_administration
1,9_arm_1,ex_coding
1,9_arm_1,adverse_events
1,9_arm_1,ae_coding
1,9_arm_1,conmeds
1,9_arm_1,cm_coding
1,9_arm_1,immunosuppression_dosages
1,9_arm_1,ppi_dosages
1,9_arm_1,transfusions
1,9_arm_1,source_upload_form
1,9_arm_1,site_source_upload_form
1,9_arm_1,protocol_deviations
1,9_arm_1,derived_values
1,9_arm_1,cbc_imported
1,9_arm_1,cbc_im_standard
1,9_arm_1,chemistry_imported
1,9_arm_1,chemistry_im_standard
1,9_arm_1,inr_imported
1,9_arm_1,hcv_rna_imported
1,9_arm_1,hcv_rna_im_standard
1,9_arm_1,conmeds_imported
1,9_arm_1,biological_specimens
1,10_arm_1,cbc
1,10_arm_1,cbc_standard
1,10_arm_1,chemistry
1,10_arm_1,chemistry_standard
1,10_arm_1,inr
1,10_arm_1,hcv_rna_results
1,10_arm_1,hcv_rna_standard
1,10_arm_1,interferon_administration
1,10_arm_1,ribavirin_administration
1,10_arm_1,ex_coding
1,10_arm_1,adverse_events
1,10_arm_1,ae_coding
1,10_arm_1,conmeds
1,10_arm_1,cm_coding
1,10_arm_1,immunosuppression_dosages
1,10_arm_1,ppi_dosages
1,10_arm_1,transfusions
1,10_arm_1,source_upload_form
1,10_arm_1,site_source_upload_form
1,10_arm_1,protocol_deviations
